Año,"Tipo de Vehículo",Siniestros,Fallecidos,Graves,"Menos graves",Leves
2002,Automóvil,24511,266,1654,1900,11385
2002,Bicicleta,4192,175,800,670,2425
2002,"Bus / Taxibus",8614,60,599,770,4660
2002,Camión,3473,73,304,219,881
2002,Camioneta,8125,130,735,735,3365
2002,"Dado a la fuga",80,1,16,14,31
2002,Furgón,3119,32,218,225,1471
2002,Jeep,1292,19,133,136,614
2002,Minibus,513,7,49,52,377
2002,Motocicleta,1499,45,442,214,746
2002,Otros,419,36,76,60,195
2002,Peatón,8264,705,2290,1290,4371
2003,Automóvil,26323,288,1671,1815,12088
2003,Bicicleta,4707,182,879,588,2902
2003,"Bus / Taxibus",8822,40,604,680,4587
2003,Camión,3817,101,275,219,873
2003,Camioneta,8527,147,730,652,3582
2003,"Dado a la fuga",45,0,14,2,24
2003,Furgón,3369,32,233,250,1515
2003,Jeep,1432,26,126,122,698
2003,Minibus,441,9,75,53,373
2003,Motocicleta,1594,62,468,215,786
2003,Otros,466,30,75,38,204
2003,Peatón,8244,785,2347,1138,4433
2004,Automóvil,28068,330,1742,1781,13079
2004,Bicicleta,4627,169,772,540,2944
2004,"Bus / Taxibus",9335,45,528,669,4807
2004,Camión,4274,92,261,191,1054
2004,Camioneta,8992,149,700,621,3657
2004,"Dado a la fuga",43,1,5,4,25
2004,Furgón,3561,40,218,195,1733
2004,Jeep,1534,28,153,103,748
2004,Minibus,439,7,52,32,268
2004,Motocicleta,1471,45,411,162,759
2004,Otros,459,34,76,37,208
2004,Peatón,8274,817,2248,997,4730
2005,Automóvil,28493,269,1679,1644,14598
2005,Bicicleta,4451,160,713,501,2891
2005,"Bus / Taxibus",8912,83,619,579,5015
2005,Camión,4101,80,262,158,1069
2005,Camioneta,8781,154,664,555,3952
2005,"Dado a la fuga",23,0,4,2,13
2005,Furgón,3497,45,222,186,1684
2005,Jeep,1529,25,127,89,711
2005,Minibus,510,13,57,41,374
2005,Motocicleta,1604,55,405,164,878
2005,Otros,439,30,62,52,182
2005,Peatón,7894,712,2030,908,4702
2006,Automóvil,27793,323,1597,1530,14641
2006,Bicicleta,4258,142,682,436,2795
2006,"Bus / Taxibus",7612,86,485,419,4584
2006,Camión,3545,106,258,170,941
2006,Camioneta,8710,154,689,573,4096
2006,"Dado a la fuga",36,1,5,0,18
2006,Furgón,3219,37,219,158,1565
2006,Jeep,1569,30,118,102,865
2006,Minibus,504,21,64,46,345
2006,Motocicleta,1815,58,425,167,1074
2006,Otros,436,26,60,34,223
2006,Peatón,7916,668,1913,855,4871
2007,Automóvil,34011,347,1842,1696,17203
2007,Bicicleta,4604,183,744,452,3023
2007,"Bus / Taxibus",6929,37,455,408,4520
2007,Camión,4514,91,252,200,1138
2007,Camioneta,10581,147,706,562,4475
2007,"Dado a la fuga",66,0,8,2,38
2007,Furgón,3853,37,224,172,1860
2007,Jeep,2120,31,133,100,1075
2007,Minibus,848,11,67,38,585
2007,Motocicleta,2982,70,702,270,1731
2007,Otros,568,31,69,61,266
2007,Peatón,9226,660,2172,1016,5744
2008,Automóvil,36685,385,1921,1755,17824
2008,Bicicleta,4456,149,696,444,2938
2008,"Bus / Taxibus",6907,37,347,371,4298
2008,Camión,4603,100,269,185,1102
2008,Camioneta,11207,189,780,583,4667
2008,"Dado a la fuga",109,1,4,1,36
2008,Furgón,3925,50,224,176,1735
2008,Jeep,2070,32,145,113,913
2008,Minibus,1024,7,73,69,652
2008,Motocicleta,3821,86,838,382,2310
2008,Otros,512,33,50,37,226
2008,Peatón,9440,712,2141,1003,5978
2009,Automóvil,37613,397,1790,1481,17865
2009,Bicicleta,3938,128,612,383,2568
2009,"Bus / Taxibus",6634,35,407,326,3976
2009,Camión,3921,69,202,142,949
2009,Camioneta,11158,150,703,516,4416
2009,"Dado a la fuga",113,0,4,1,36
2009,Furgón,3807,25,182,181,1703
2009,Jeep,2031,23,120,87,910
2009,Minibus,888,5,63,58,689
2009,Motocicleta,3624,73,723,313,2188
2009,Otros,545,28,69,41,255
2009,Peatón,8877,575,1873,848,5495
2010,Automóvil,38098,349,1814,1487,17923
2010,Bicicleta,3892,145,599,325,2583
2010,"Bus / Taxibus",6652,69,382,322,4088
2010,Camión,4399,81,226,151,1071
2010,Camioneta,11785,148,689,534,4822
2010,"Dado a la fuga",121,0,3,8,37
2010,Furgón,3674,48,195,167,1525
2010,Jeep,2299,17,130,97,951
2010,Minibus,1031,8,63,59,697
2010,Motocicleta,3750,85,748,303,2281
2010,Otros,476,18,66,34,206
2010,Peatón,9155,627,1984,834,5560
2011,Automóvil,41838,378,1829,1517,18831
2011,Bicicleta,3836,128,530,338,2534
2011,"Bus / Taxibus",6908,46,431,379,4308
2011,Camión,5097,110,221,171,1238
2011,Camioneta,12351,144,628,487,4729
2011,"Dado a la fuga",99,0,1,0,18
2011,Furgón,4040,35,155,165,1594
2011,Jeep,2366,18,112,83,878
2011,Minibus,1190,16,68,66,575
2011,Motocicleta,4072,75,824,340,2397
2011,Otros,533,15,68,41,248
2011,Peatón,9470,608,1857,867,5684
2012,Automóvil,40385,381,1673,1321,18007
2012,Bicicleta,3662,85,521,291,2471
2012,"Bus / Taxibus",6708,53,424,297,4127
2012,Camión,5150,87,200,141,1193
2012,Camioneta,12063,133,605,449,4755
2012,"Dado a la fuga",171,2,6,3,42
2012,Furgón,3647,34,142,101,1532
2012,Jeep,2162,19,118,58,878
2012,Minibus,1062,16,67,45,678
2012,Motocicleta,4755,112,955,372,2879
2012,Otros,1453,18,80,59,544
2012,Peatón,9317,583,1779,783,5629
2013,Automóvil,49113,427,1865,1567,20832
2013,Bicicleta,4094,124,551,322,2707
2013,"Bus / Taxibus",7694,60,390,253,4129
2013,Camión,5914,83,239,152,1244
2013,Camioneta,14611,112,632,501,5199
2013,"Dado a la fuga",521,0,5,11,32
2013,Furgón,4308,34,164,136,1518
2013,Jeep,2642,13,141,63,993
2013,Minibus,1321,7,62,43,922
2013,Motocicleta,5847,112,1312,499,3386
2013,Otros,1695,20,92,54,689
2013,Peatón,9958,631,1977,815,6095
2014,Automóvil,53232,470,1962,1400,20814
2014,Bicicleta,3957,109,600,277,2536
2014,"Bus / Taxibus",7529,39,361,239,3798
2014,Camión,5979,78,239,152,1148
2014,Camioneta,15821,127,612,427,5109
2014,"Dado a la fuga",374,2,6,11,36
2014,Furgón,4474,22,159,109,1550
2014,Jeep,2470,21,119,65,792
2014,Minibus,1303,10,55,45,656
2014,Motocicleta,5878,123,1291,437,3245
2014,Otros,1890,14,75,70,671
2014,Peatón,11491,615,1978,780,6061
2015,Automóvil,55212,470,2119,1341,20642
2015,Bicicleta,3711,125,542,224,2378
2015,"Bus / Taxibus",7638,48,334,249,3523
2015,Camión,6045,84,226,141,1116
2015,Camioneta,16639,138,700,410,5237
2015,"Dado a la fuga",709,0,5,3,35
2015,Furgón,4511,21,174,100,1585
2015,Jeep,2963,20,108,83,984
2015,Minibus,1348,3,66,41,736
2015,Motocicleta,6284,153,1371,433,3426
2015,Otros,2091,20,120,70,679
2015,Peatón,9523,564,2008,696,6040
2016,Automóvil,64247,492,2445,1560,23011
2016,Bicicleta,3953,95,641,293,2392
2016,"Bus / Taxibus",8272,37,346,210,3331
2016,Camión,6876,74,239,128,1335
2016,Camioneta,19073,153,756,539,5892
2016,"Dado a la fuga",866,0,5,3,42
2016,Furgón,5258,44,199,112,1576
2016,Jeep,3483,14,146,85,1119
2016,Minibus,1776,3,73,40,917
2016,Motocicleta,7258,145,1673,538,3794
2016,Otros,2636,15,113,86,945
2016,Peatón,9929,603,2194,750,6035
2017,Automóvil,67386,378,2275,1467,22898
2017,Bicicleta,3853,95,582,266,2388
2017,"Bus / Taxibus",8255,33,393,223,3564
2017,Camión,7152,70,243,123,1295
2017,Camioneta,20135,128,799,521,5619
2017,"Dado a la fuga",864,1,10,1,58
2017,Furgón,5219,28,179,136,1512
2017,Jeep,4025,12,127,72,1101
2017,Minibus,1874,13,70,45,833
2017,Motocicleta,7098,161,1629,518,3637
2017,Otros,1855,27,89,44,501
2017,Peatón,10046,537,2138,785,6030
2018,Automóvil,63238,442,2125,1405,21084
2018,Bicicleta,3907,85,592,260,2420
2018,"Bus / Taxibus",7780,23,358,214,3201
2018,Camión,6566,78,225,134,1001
2018,Camioneta,18818,138,637,406,5329
